Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,PV,Day_Perc_Change,Trend,21_SMA,34_SMA,14_SMA,boll_up,boll_down
PVR,EQ,2017-06-16,1523.5,1521.25,1575.0,1521.25,1569.25,1564.15,1554.11,253525,394006172.25,9899,122687,48.39,June,2017,396551128.75,2.6681982277650285,positive,1472.3952380952383,,1469.5571428571432,1563.0117789700132,1376.1025067442731
PVR,EQ,2017-06-19,1564.15,1570.0,1589.95,1545.0,1563.1,1569.9,1567.24,192244,301291606.95,11220,63040,32.79,June,2017,301803855.6,0.3676118019371621,slight or no change,1475.0785714285716,,1478.2714285714287,1584.8565531958748,1371.6863039469827
PVR,EQ,2017-06-20,1569.9,1574.0,1589.35,1560.6,1576.95,1570.3,1571.39,113049,177643618.9,11747,46220,40.88,June,2017,177520844.7,0.02547932989360735,slight or no change,1479.3309523809526,,1486.5107142857144,1602.7283230307642,1370.2931055406646
PVR,EQ,2017-06-21,1570.3,1574.75,1601.0,1571.0,1581.0,1581.4,1587.72,281799,447419037.95,13220,107563,38.17,June,2017,445636938.6,0.7068712984779957,slight positive,1483.3761904761907,,1495.4892857142859,1620.5397996834652,1370.4387717451066
PVR,EQ,2017-06-22,1581.4,1583.0,1593.75,1557.1,1564.9,1563.95,1577.11,84496,133259841.75,6312,33500,39.65,June,2017,132147519.2,-1.103452636904012,negative,1488.8023809523813,,1503.071428571429,1631.1145025395613,1375.0283546032965
PVR,EQ,2017-06-23,1563.95,1573.85,1576.85,1500.55,1502.2,1508.0,1536.0,249486,383210185.25,11393,111611,44.74,June,2017,376224888.0,-3.5774800984686217,among top losers,1491.0333333333335,,1507.7678571428573,1630.931410737522,1384.6043035481928
PVR,EQ,2017-06-27,1508.0,1509.0,1509.0,1445.0,1459.95,1450.35,1458.02,192943,281315062.4,10464,88049,45.63,June,2017,279834880.05,-3.822944297082232,among top losers,1490.0261904761905,,1511.8750000000002,1621.636466897015,1402.1135331029855
PVR,EQ,2017-06-28,1450.35,1451.35,1458.95,1393.35,1410.85,1405.35,1420.0,238384,338504377.45,13282,116220,48.75,June,2017,335012954.4,-3.102699348433136,among top losers,1486.811904761905,,1512.207142857143,1620.538236888662,1403.8760488256241
PVR,EQ,2017-06-29,1405.35,1406.1,1449.9,1406.1,1420.0,1417.6,1429.14,200303,286260827.25,9625,61637,30.77,June,2017,283949532.79999995,0.8716689792578336,slight positive,1485.3690476190477,,1509.607142857143,1625.4433458943013,1393.7709398199845
PVR,EQ,2017-06-30,1417.6,1420.0,1430.0,1383.4,1408.0,1408.55,1401.62,229464,321620535.4,22115,119244,51.97,June,2017,323211517.2,-0.6384029345372411,slight negative,1483.1595238095238,1485.4411764705883,1505.0571428571427,1631.7132360152132,1378.4010496990722
PVR,EQ,2017-07-03,1408.55,1415.0,1444.0,1406.6,1440.0,1440.4,1433.98,197905,283792055.85,18581,72803,36.79,July,2017,285062362.0,2.2611905860636883,positive,1482.4309523809522,1482.954411764706,1501.5892857142858,1632.7245428320439,1370.4540285965277
PVR,EQ,2017-07-04,1440.4,1442.0,1445.0,1421.55,1421.6,1425.75,1430.29,63910,91409589.1,6096,22712,35.54,July,2017,91119682.5,-1.017078589280762,negative,1480.904761904762,1479.6235294117648,1496.55,1633.8386683653766,1359.2613316346233
PVR,EQ,2017-07-05,1425.75,1425.8,1431.85,1402.1,1403.55,1407.2,1408.8,180666,254522799.25,10741,110937,61.4,July,2017,254233195.2,-1.3010696124846508,negative,1479.2357142857143,1476.0029411764706,1488.314285714286,1632.554493639876,1344.0740777886958
PVR,EQ,2017-07-06,1407.2,1414.15,1439.0,1408.0,1425.0,1421.2,1425.73,120416,171681176.2,14248,48969,40.67,July,2017,171135219.20000002,0.9948834565093768,slight positive,1480.5857142857144,1473.2426470588234,1481.007142857143,1627.9093021183476,1334.1049835959384
PVR,EQ,2017-07-07,1421.2,1424.25,1465.0,1415.0,1418.0,1419.05,1441.63,317775,458114598.9,16051,115716,36.41,July,2017,450938613.75,-0.15128060793696552,slight or no change,1481.459523809524,1470.4632352941173,1470.642857142857,1612.6698202229645,1328.6158940627497
PVR,EQ,2017-07-10,1419.05,1430.2,1432.8,1418.2,1428.0,1425.4,1427.25,18091,25820466.05,936,8931,49.37,July,2017,25786911.4,0.4474824706670155,slight or no change,1480.0976190476192,1468.8279411764704,1460.3214285714287,1591.8934370177292,1328.7494201251282
PVR,EQ,2017-07-11,1425.4,1423.0,1425.25,1410.0,1417.15,1419.3,1418.31,84915,120435871.9,5905,29124,34.3,July,2017,120519859.5,-0.4279500491090271,slight or no change,1477.5761904761905,1466.5588235294117,1449.5357142857142,1566.1814068012013,1332.8900217702271
PVR,EQ,2017-07-12,1419.3,1422.0,1444.0,1415.05,1422.0,1419.6,1428.55,155733,222472988.8,14142,83388,53.55,July,2017,221078566.8,0.021137180300145886,slight or no change,1474.2738095238096,1465.6647058823528,1437.9785714285713,1527.1770856822009,1348.7800571749417
PVR,EQ,2017-07-13,1419.6,1424.75,1439.9,1411.55,1418.05,1417.7,1423.41,86039,122468768.6,6790,28884,33.57,July,2017,121977490.3,-0.13384051845589662,slight or no change,1470.5309523809524,1464.3867647058821,1427.5321428571426,1479.7825695339848,1375.2817161803005
PVR,EQ,2017-07-14,1417.7,1424.0,1425.95,1397.15,1404.05,1403.2,1408.63,164077,231124554.55,10041,107820,65.71,July,2017,230232846.4,-1.0227833815334653,negative,1464.8500000000001,1462.3779411764704,1420.0464285714284,1446.095626530016,1393.9972306128407
PVR,EQ,2017-07-17,1403.2,1406.0,1413.45,1370.15,1382.2,1381.95,1385.46,218713,303017140.8,11975,103877,47.49,July,2017,302250430.35,-1.5143956670467529,negative,1458.109523809524,1459.7044117647056,1415.1607142857142,1442.3589658859523,1387.962462685476
PVR,EQ,2017-07-18,1381.95,1380.0,1394.0,1371.5,1384.0,1382.0,1382.95,211740,292826782.85,10090,148152,69.97,July,2017,292624680.0,0.0036180759072301774,slight or no change,1449.4357142857143,1457.7661764705879,1413.4928571428572,1445.6875021142673,1381.2982121714472
PVR,EQ,2017-07-19,1382.0,1389.0,1401.3,1357.15,1385.3,1387.15,1377.9,336806,464085138.25,22936,187620,55.71,July,2017,467200442.9,0.372648335745307,slight or no change,1440.7333333333333,1455.7720588235293,1411.3178571428575,1446.3099794902316,1376.3257347954834
PVR,EQ,2017-07-20,1387.15,1395.95,1413.45,1380.05,1383.5,1385.8,1395.62,378948,528868291.5,16032,206958,54.61,July,2017,525146138.4,-0.09732184695239177,slight or no change,1431.9476190476191,1453.7161764705882,1409.6928571428575,1447.2571171032719,1372.1285971824432
PVR,EQ,2017-07-21,1385.8,1391.9,1392.0,1344.4,1370.95,1367.5,1371.28,252029,345601852.9,14355,120894,47.97,July,2017,344649657.5,-1.3205368740077938,negative,1421.7619047619048,1451.060294117647,1404.4857142857145,1443.8799627642268,1365.0914658072022
PVR,EQ,2017-07-24,1367.5,1370.0,1383.4,1367.0,1370.0,1369.4,1372.31,134339,184355075.65,11930,73412,54.65,July,2017,183963826.6,0.1389396709323698,slight or no change,1412.497619047619,1448.9176470588234,1400.4607142857146,1441.9548321000118,1358.9665964714175
PVR,EQ,2017-07-25,1369.4,1374.7,1398.0,1372.6,1381.0,1381.7,1386.8,243186,337250910.7,16199,133080,54.72,July,2017,336010096.2,0.8982035928143617,slight positive,1406.4833333333333,1448.5897058823527,1398.639285714286,1441.0868131148018,1356.1917583137702
PVR,EQ,2017-07-26,1381.7,1389.0,1404.45,1344.0,1357.0,1354.4,1378.73,686032,945852727.6,27060,246005,35.86,July,2017,929161740.8,-1.97582687993052,negative,1401.9142857142858,1447.2279411764705,1393.8678571428575,1440.228394193288,1347.5073200924269
PVR,EQ,2017-07-27,1354.4,1362.65,1368.6,1318.6,1340.0,1330.3,1336.26,332134,443818859.2,24648,134733,40.57,July,2017,441837860.2,-1.7793857058476137,negative,1398.3404761904765,1443.589705882353,1387.5285714285717,1442.5232385026923,1332.5339043544511
PVR,EQ,2017-07-28,1330.3,1339.35,1352.45,1323.8,1340.0,1340.0,1336.4,109277,146038131.2,6322,38091,34.86,July,2017,146431180.0,0.7291588363527168,slight positive,1394.6452380952385,1439.7,1381.4285714285718,1437.2665887270407,1325.5905541301029
PVR,EQ,2017-07-31,1340.0,1339.5,1354.0,1331.25,1341.55,1340.55,1343.18,133803,179721358.9,11860,90357,67.53,July,2017,179369611.65,0.04104477611939217,slight or no change,1391.407142857143,1435.3352941176472,1375.8035714285718,1431.0706636581838,1320.5364791989598
PVR,EQ,2017-08-01,1340.55,1345.0,1378.0,1342.4,1377.0,1375.1,1366.97,301429,412043103.2,12980,191057,63.38,August,2017,414495017.9,2.5773003617918007,positive,1388.2976190476193,1431.7705882352943,1372.6250000000002,1421.8275288593363,1323.4224711406641
PVR,EQ,2017-08-02,1375.1,1380.0,1389.9,1372.35,1375.0,1377.65,1381.13,213112,294336008.2,9220,140077,65.73,August,2017,293593746.8,0.18544105883209205,slight or no change,1386.0071428571432,1427.5102941176472,1369.764285714286,1411.8148492076548,1327.7137222209171
PVR,EQ,2017-08-03,1377.65,1377.0,1385.0,1362.0,1373.2,1374.05,1375.63,202693,278830670.75,8319,151231,74.61,August,2017,278510316.65,-0.2613145573984732,slight or no change,1384.4285714285716,1423.1147058823533,1367.6821428571432,1405.2486501811868,1330.1156355330995
PVR,EQ,2017-08-04,1374.05,1374.7,1408.25,1370.55,1400.0,1400.2,1397.94,285632,399297659.0,20296,123494,43.24,August,2017,399941926.4,1.903133073760066,positive,1383.4285714285716,1418.2926470588236,1368.9857142857145,1409.8102436498377,1328.1611849215913
PVR,EQ,2017-08-07,1400.2,1405.0,1437.2,1381.1,1431.4,1430.45,1413.69,290183,410227956.3,15549,121711,41.94,August,2017,415092272.35,2.1604056563348184,positive,1383.9714285714288,1414.1911764705883,1372.446428571429,1424.6513570786065,1320.2415000642513
PVR,EQ,2017-08-08,1430.45,1437.2,1445.0,1383.6,1410.0,1409.65,1416.52,293605,415896598.5,12056,159940,54.47,August,2017,413880288.25,-1.454087874445098,negative,1383.2214285714288,1409.4661764705882,1374.0535714285718,1429.493496840411,1318.6136460167327
PVR,EQ,2017-08-09,1409.65,1415.0,1430.0,1352.2,1354.2,1358.0,1379.84,228114,314761138.6,19681,111571,48.91,August,2017,309778812.0,-3.6640300783882576,among top losers,1380.3023809523813,1402.895588235294,1372.0678571428575,1427.6865812609765,1316.4491330247386
PVR,EQ,2017-08-10,1358.0,1349.0,1380.75,1301.1,1339.35,1332.6,1352.85,247374,334661007.05,12146,138339,55.92,August,2017,329650592.4,-1.8703976435935243,negative,1376.159523809524,1396.0911764705882,1369.5750000000003,1429.0691076591106,1310.08089234089
PVR,EQ,2017-08-11,1332.6,1319.0,1340.4,1261.0,1284.65,1285.9,1297.19,354851,460309395.05,16208,136740,38.53,August,2017,456302900.9,-3.5044274350892857,among top losers,1369.8833333333337,1389.5588235294117,1363.6107142857145,1438.0460055286292,1289.1754230427998
PVR,EQ,2017-08-14,1285.9,1284.9,1307.9,1225.0,1293.0,1288.0,1268.79,401325,509197765.9,16925,162694,40.54,August,2017,516906600.0,0.16330974414806576,slight or no change,1364.3976190476194,1384.7838235294118,1356.9178571428572,1440.6199443068242,1273.2157699788902
PVR,EQ,2017-08-16,1288.0,1290.05,1333.45,1274.05,1328.0,1329.2,1296.35,363066,470660546.45,18155,254727,70.16,August,2017,482587327.2,3.198757763975157,among top gainers,1361.8857142857146,1382.5441176470588,1355.1178571428572,1440.1268304895016,1270.108883796213
PVR,EQ,2017-08-17,1329.2,1329.0,1339.55,1296.5,1304.95,1301.25,1319.87,183800,242591771.9,10502,76560,41.65,August,2017,239169750.0,-2.102768582606085,negative,1358.0404761904765,1379.1220588235294,1353.0428571428572,1441.9883880734633,1264.0973262122511
PVR,EQ,2017-08-18,1301.25,1300.85,1329.0,1285.0,1315.35,1321.75,1304.72,114016,148758735.5,7654,36631,32.13,August,2017,150700648.0,1.5754082612872145,positive,1354.9261904761906,1376.5691176470589,1351.7392857142859,1442.0329704629683,1261.4456009656035
PVR,EQ,2017-08-21,1321.75,1321.75,1328.25,1274.0,1278.35,1280.65,1290.21,160371,206912135.05,7123,76369,47.62,August,2017,205379121.15,-3.1095139020238305,among top losers,1349.919047619048,1371.870588235294,1347.4607142857146,1445.3920652694237,1249.5293633020055
PVR,EQ,2017-08-22,1280.65,1280.65,1295.0,1249.0,1270.4,1272.35,1268.66,177930,225731937.8,13303,94365,53.03,August,2017,226389235.5,-0.6481083824620426,slight negative,1345.3880952380955,1367.3588235294117,1340.1214285714289,1444.329598296084,1235.9132588467737
PVR,EQ,2017-08-23,1272.35,1273.0,1282.9,1250.0,1257.7,1255.45,1259.46,173261,218215021.35,10919,92534,53.41,August,2017,217520522.45,-1.3282508743663213,negative,1339.9619047619049,1362.895588235294,1331.3928571428573,1442.314991003596,1220.4707232821186
PVR,EQ,2017-08-24,1255.45,1258.0,1272.0,1253.3,1264.0,1263.55,1262.86,103862,131163063.45,7002,46965,45.22,August,2017,131234830.1,0.6451869847464929,slight positive,1334.3357142857144,1358.2588235294118,1323.5000000000002,1437.0415207009173,1209.9584792990831
PVR,EQ,2017-08-28,1263.55,1265.0,1284.5,1258.75,1282.65,1276.25,1271.54,183234,232989955.65,19477,104440,57.0,August,2017,233852392.5,1.0051046654267817,positive,1330.6142857142859,1354.0588235294117,1314.6464285714287,1421.5615240320908,1207.7313331107666
PVR,EQ,2017-08-29,1276.25,1275.0,1283.55,1253.1,1263.15,1261.5,1266.11,120692,152809276.4,5951,44382,36.77,August,2017,152252958.0,-1.1557296767874647,negative,1327.3380952380953,1349.2382352941177,1302.5785714285716,1389.4479403266307,1215.7092025305126
PVR,EQ,2017-08-30,1261.5,1269.4,1314.0,1266.85,1311.5,1309.95,1294.4,184144,238355169.85,13165,56150,30.49,August,2017,241219432.8,3.84066587395957,among top gainers,1325.907142857143,1346.0220588235293,1295.457142857143,1357.2395757243328,1233.6747099899533
PVR,EQ,2017-08-31,1309.95,1307.9,1330.0,1297.1,1322.0,1321.45,1313.26,164554,216102550.25,8247,72235,43.9,August,2017,217449883.3,0.8778961029046961,slight positive,1324.9976190476193,1343.1352941176467,1292.8464285714288,1345.6860183952251,1240.0068387476324
PVR,EQ,2017-09-01,1321.45,1322.0,1350.0,1309.9,1328.55,1323.4,1331.34,208183,277163161.45,17580,84359,40.52,September,2017,275509382.20000005,0.14756517461880225,slight or no change,1322.5357142857147,1340.3617647058823,1292.1892857142861,1343.0925148482372,1241.286056580335
PVR,EQ,2017-09-04,1323.4,1322.0,1330.95,1296.15,1301.05,1310.25,1312.69,94097,123520432.4,6439,12983,13.8,September,2017,123290594.25,-0.9936527127096916,slight negative,1319.3261904761907,1337.6279411764706,1293.9285714285718,1345.5648245591237,1242.2923182980198
PVR,EQ,2017-09-05,1310.25,1310.0,1310.0,1285.8,1307.0,1304.9,1299.31,132512,172173999.95,6020,25558,19.29,September,2017,172914908.8,-0.4083190230871892,slight or no change,1316.0333333333338,1335.3617647058825,1295.1357142857146,1346.964744294467,1243.3066842769622
PVR,EQ,2017-09-06,1304.9,1304.1,1324.0,1296.75,1310.05,1308.4,1312.85,130353,171134274.05,5693,31945,24.51,September,2017,170553865.20000002,0.2682197869568581,slight or no change,1311.6619047619051,1333.1970588235295,1293.6500000000003,1342.3720373452993,1244.9279626547013
PVR,EQ,2017-09-07,1308.4,1310.0,1338.0,1303.25,1319.95,1323.65,1325.44,122640,162552380.05,6616,19182,15.64,September,2017,162332436.0,1.165545704677462,positive,1306.576190476191,1331.329411764706,1295.2500000000005,1346.4550778731939,1244.044922126807
PVR,EQ,2017-09-08,1323.65,1322.0,1374.45,1322.0,1371.0,1366.35,1361.4,335483,456725511.4,17634,52547,15.66,September,2017,458387197.05,3.2259283043100333,among top gainers,1304.514285714286,1330.7573529411766,1298.4357142857148,1361.0265642998688,1235.8448642715607
PVR,EQ,2017-09-11,1366.35,1378.0,1388.8,1338.3,1348.9,1344.85,1362.56,303111,413007096.9,15222,83583,27.58,September,2017,407638828.35,-1.5735353313572675,negative,1303.8880952380955,1330.0911764705882,1303.0214285714287,1369.2977697996018,1236.7450873432556
PVR,EQ,2017-09-12,1344.85,1349.7,1365.0,1341.0,1347.25,1346.85,1354.15,99652,134943864.7,7670,21016,21.09,September,2017,134216296.2,0.1487154701267812,slight or no change,1304.5666666666668,1329.4279411764705,1308.3428571428574,1375.9606956761318,1240.725018609583
PVR,EQ,2017-09-13,1346.85,1349.05,1362.95,1316.05,1327.0,1323.35,1342.11,96710,129795232.95,6756,23114,23.9,September,2017,127981178.5,-1.7448119686676369,negative,1306.3500000000001,1327.7117647058822,1313.1928571428573,1373.8502919353398,1252.5354223503748
PVR,EQ,2017-09-14,1323.35,1334.7,1345.6,1318.0,1318.25,1321.35,1329.26,72627,96540075.1,6133,31172,42.92,September,2017,95965686.45,-0.15113159783881613,slight or no change,1307.9380952380952,1326.7397058823528,1317.3214285714287,1370.8759976401063,1263.766859502751
PVR,EQ,2017-09-15,1321.35,1325.0,1357.0,1310.0,1335.35,1336.35,1340.24,193013,258683787.3,13279,88227,45.71,September,2017,257932922.55,1.1352026336701069,positive,1308.2785714285715,1326.9176470588231,1321.6142857142856,1370.410635334556,1272.8179360940153
PVR,EQ,2017-09-18,1336.35,1348.0,1355.0,1321.65,1334.25,1329.3,1335.07,81988,109460025.15,6677,40762,49.72,September,2017,108986648.4,-0.5275564036367641,slight negative,1309.6142857142856,1326.6029411764703,1326.4571428571428,1360.9000467180772,1292.0142389962084
PVR,EQ,2017-09-19,1329.3,1335.0,1350.0,1320.1,1339.0,1337.8,1335.4,72193,96406610.85,5606,18417,25.51,September,2017,96579795.4,0.639434288723395,slight positive,1310.3785714285714,1326.5220588235293,1328.4464285714282,1361.9876423535495,1294.905214789307
PVR,EQ,2017-09-20,1337.8,1338.15,1347.2,1300.0,1308.0,1310.0,1325.14,125823,166732657.3,12654,52772,41.94,September,2017,164828130.0,-2.0780385707878546,negative,1311.7761904761903,1324.6073529411763,1327.6285714285711,1362.4390409917462,1292.818101865396
PVR,EQ,2017-09-21,1310.0,1315.9,1324.95,1275.75,1282.45,1281.2,1289.81,339178,437476759.35,25479,188870,55.68,September,2017,434554853.6,-2.198473282442748,negative,1312.197619047619,1321.7705882352939,1324.6142857142854,1367.3973777838505,1281.8311936447203
PVR,EQ,2017-09-22,1281.2,1274.0,1274.0,1209.4,1224.9,1217.7,1242.22,335055,416210881.35,17688,181207,54.08,September,2017,407996473.5,-4.956290977208867,among top losers,1310.3999999999999,1317.172058823529,1318.0035714285711,1389.3883086928183,1246.618834164324
PVR,EQ,2017-09-25,1217.7,1228.7,1228.7,1166.65,1211.35,1214.9,1195.57,366125,437729220.8,14216,170706,46.63,September,2017,444805262.50000006,-0.2299416933563281,slight or no change,1308.0833333333333,1311.722058823529,1311.5749999999996,1401.7736845375669,1221.3763154624323
PVR,EQ,2017-09-26,1214.9,1210.0,1244.0,1190.25,1201.05,1211.85,1213.97,212923,258481381.55,10109,73940,34.73,September,2017,258030737.55,-0.2510494690921239,slight or no change,1305.0166666666667,1305.2926470588231,1304.6785714285709,1409.5015042855898,1199.855638571552
PVR,EQ,2017-09-27,1211.85,1210.1,1233.05,1165.0,1168.0,1174.6,1195.05,203339,242999396.1,11926,58489,28.76,September,2017,238841989.4,-3.0738127656063097,among top losers,1300.8785714285714,1298.3794117647055,1294.0321428571422,1418.912606360586,1169.1516793536982
PVR,EQ,2017-09-28,1174.6,1177.9,1205.95,1142.05,1188.0,1194.65,1185.32,332099,393644793.05,18503,98063,29.53,September,2017,396742070.35,1.706964072875894,positive,1295.388095238095,1293.5749999999996,1281.7678571428567,1409.7406102954335,1153.7951039902798
PVR,EQ,2017-09-29,1194.65,1202.0,1232.9,1186.0,1212.0,1204.9,1210.33,213881,258866942.9,10600,47274,22.1,September,2017,257705216.9,0.8579918804670905,slight positive,1289.838095238095,1289.8191176470586,1271.7714285714283,1400.3801297622024,1143.1627273806541
PVR,EQ,2017-10-03,1204.9,1216.0,1238.25,1210.25,1230.0,1221.05,1224.08,129232,158190665.8,6728,33456,25.89,October,2017,157798733.6,1.3403601958668745,positive,1284.9642857142856,1287.9117647058822,1262.785714285714,1386.274875619949,1139.296552951479
PVR,EQ,2017-10-04,1221.05,1220.1,1278.0,1220.1,1273.5,1268.6,1249.81,320762,400890408.3,14237,116906,36.45,October,2017,406918673.2,3.894189427132378,among top gainers,1282.9809523809522,1287.341176470588,1258.8749999999998,1377.4729293501937,1140.2770706498059
PVR,EQ,2017-10-05,1268.6,1275.0,1324.2,1268.05,1296.0,1293.45,1298.46,404082,524683818.05,12420,188054,46.54,October,2017,522659862.9,1.958852278101864,positive,1282.435714285714,1286.2897058823528,1256.8821428571428,1371.8396306993393,1141.9246550149462
PVR,EQ,2017-10-06,1293.45,1311.9,1321.95,1292.85,1310.0,1313.65,1305.54,234043,305552391.35,6068,107969,46.13,October,2017,307450586.95000005,1.561714793768609,positive,1282.685714285714,1286.6544117647056,1255.2607142857144,1365.9510250184503,1144.5704035529784
PVR,EQ,2017-10-09,1313.65,1314.0,1396.1,1310.15,1391.6,1387.6,1359.77,437638,595085793.1,24655,169895,38.82,October,2017,607266488.8,5.6293533285121535,among top gainers,1285.730952380952,1288.591176470588,1259.425,1385.439912121236,1133.410087878764
PVR,EQ,2017-10-10,1387.6,1400.0,1415.0,1356.0,1379.0,1376.65,1382.78,282768,391005880.65,13763,56984,20.15,October,2017,389272567.2000001,-0.7891323147881102,slight negative,1286.2214285714283,1291.4147058823528,1262.2000000000003,1397.0508749009005,1127.3491250991
PVR,EQ,2017-10-11,1376.65,1382.0,1403.15,1330.5,1345.0,1335.65,1369.08,216793,296808041.8,14933,56232,25.94,October,2017,289559570.45000005,-2.978244288671772,negative,1285.7833333333333,1293.276470588235,1264.032142857143,1402.3334115934267,1125.7308741208594
